"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,209900,207995,220500,219900,222950,225000,220000,219000,229000,219900,209400,199000,194900,198500,210000,217000,224900,224000,210000,209500,199900,199900,196000,189000,190000,199000,199500,194900,199900,209000,204995,189900,189000,195000,215000,209000,210000,224900,238000,245000,248250,249700,245000,249900,239900,239000,244450,258000,250000,251900,269000,275000,286500,279900,279000,284500,274950,282450,269900,266000,289500,3e+05,324900,324900,330000,334500,325000,315900,330000,339900,348500,339000,339000,349000,350000,366250,374945,372000,375000,374000,372000,374990,374990,365000,379900,398000,399000,402250,399000,395500,389900,380000,379000,375000,375000,375000,374999.5,395000,398900,399900
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000,152950,155000,154900,150000,155000,157250,159250,159900,165000,164900,169000,170000,174900,170000,174900,175000,179999,185000,185000,185000,189900,189900,190000,189990,194900,197500,196500,195500,196000,194900,199250,199900,209000,209994.5,215900,219900,219000,210000,214900,218888,219999,224999,229000,229999,235000,240944,248000,249250,249000,248888,249999,249842.5,245000,250000,254900
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98000,1e+05,1e+05,106000,109900,109900,110000,115000,117500,114900,112000,112000,110000,105000,111750,115000,117795,120000,120000,125000,125000,129900,129897,129446,130000,134900,135000,138250,139650,138000,139900,140000,145000,149900,150000,150000,149900,149900,149900,150000,154994.5,156200,158700,160000,164851,165000,167000,165000,165000,165000,165000,169900,170750,174700
"Upper West Side","New York","NY","New York","New York",4,,,,,,,,,,,,,,,,,,,,,,,,,,,1235000,1195000,1195000,1200000,1149500,1100000,1175000,1150000,1195000,1200000,1225000,1225000,1200000,1250000,1250000,1325000,1300000,1317500,1300000,1350000,1399500,1400000,1500000,1495000,1399000,1450000,1600000,1525000,1650000,1450000,1595000,1677500,1750000,1770000,1680000,1750000,1750000,1795000,1795000,1895000,1950000,1995000,2020000,1995000,2210000,2282500,2399000,2400000,2350000,2385000,2300000,2295000,2295000,2300000,2297000,2260000,2300000,2312500,2199000,2355000,2365000,2395000,2350000,2395000,2345000,2300000,2367500,2295000,2385000,2375000,2300000,1895000,1782500,1895000
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795000,799000,799000,774900,719000,699450,699900,729000,749000,749949.5,775000,725000,722500,759000,771495,785000,8e+05,877000,889000,829000,799900,799000,839900,899000,899000,949500,998750,969000,941000,990000,999000,995000,998998,949000,919000,899950,928500,904500,899450,949000,934450,894000,899900,929000,949450,989000,1018000,1017500,1020000,1035000,999999,1100000,1100000,1050000
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279900,285000,265000,275000,284900,299000,295000,299000,309500,305000,299500,299900,299000,280000,305000,310000,310000,325000,329000,325000,327000,325000,329000,329000,330000,335000,335000,339000,349000,349994.5,350000,359000,369000,365000,369950,375000,379925,376000,379975,385000,399898,4e+05,414900,419000,425000,429000,430000,439450,440000,449999.5,452500,452500,450000,469000
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110000,114000,110000,112500,116000,117900,119000,119950,120000,126700,129305.5,129900,120000,120000,125000,129900,129900,130000,135900,138450,139000,139990,140000,139990,139990,142000,140000,145000,147000,149900,149999,153200,156500,159000,159000,159900,160000,160000,165000,169900,174000,175000,175000,179000,185000,184900,186638.5,190000,190000,189900,190000,195000,2e+05,205000
"East New York","New York","NY","New York","Kings",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369000,399000,439000,439000,459000,450000,385000,319000,349999.5,360000,399000,360000,369994.5,357500,329000,350000,360000,359000,350000,389000,395000,395000,399000,423969,399000,425000,387000,4e+05,425000,424000,425000,447000,439000,439000,439000,439000,439000,449000,475000,475000,489000,484500,449500,449000,464450,469000,487000,469000,439000,439000,449400,429000,429000,432000
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184900,182000,174949.5,171250,179900,180000,179900,188000,180000,199900,199999.5,2e+05,2e+05,199990,214070,220000,220883,230000,235000,230000,237944,233000,235000,239900,239888,240000,240000,239945,245000,244000,249900,254999,255000,259000,260000,259994.5,263250,263000,264450,269900,269999.5,274900,275396.5,285000,289900,292990,299000,295779.5,295000,294949.5,294900,298400,289900,289999
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239777,240000,239900,239950,239975,249900,249000,249000,255000,255000,255000,254000,254000,249000,265000,274000,275000,269000,265750,270000,272450,283000,288950,290000,290000,297495,299000,299000,299000,299000,299900,299000,310000,318900,320000,320000,319950,325000,326000,326000,335000,330925,335000,332500,340000,345000,345000,350000,350000,350000,360000,369000,369450,370000
